,지수
784,98.855
785,98.855
786,98.855
787,98.855
788,98.855
789,98.855
790,98.751
791,98.751
792,98.751
793,98.751
794,98.751
795,98.751
796,98.751
797,98.751
798,98.751
799,98.751
800,98.751
801,98.751
802,98.751
803,98.751
804,98.751
805,98.751
806,98.751
807,98.751
808,98.751
809,98.751
810,98.751
811,98.751
812,98.751
813,98.751
814,98.751
815,98.751
816,98.751
817,98.751
818,98.751
819,98.751
820,98.751
821,98.931
822,98.931
823,98.931
824,98.931
825,98.931
826,98.931
827,98.931
828,98.931
829,98.931
830,98.931
831,98.931
832,98.931
833,98.931
834,98.931
835,98.931
836,98.931
837,98.931
838,98.931
839,98.931
840,98.931
841,98.931
842,98.931
843,98.931
844,98.931
845,98.931
846,98.931
847,98.931
848,98.931
849,98.931
850,98.931
851,98.979
852,98.979
853,98.979
854,98.979
855,98.979
856,98.979
857,98.979
858,98.979
859,98.979
860,98.979
861,98.979
862,98.979
863,98.979
864,98.979
865,98.979
866,98.979
867,98.979
868,98.979
869,98.979
870,98.979
871,98.979
872,98.979
873,98.979
874,98.979
875,98.979
876,98.979
877,98.979
878,98.979
879,98.979
880,98.979
881,98.979
882,98.779
883,98.779
884,98.779
885,98.779
886,98.779
887,98.779
888,98.779
889,98.779
890,98.779
891,98.779
892,98.779
893,98.779
894,98.779
895,98.779
896,98.779
897,98.779
898,98.779
899,98.779
900,98.779
901,98.779
902,98.779
903,98.779
904,98.779
905,98.779
906,98.779
907,98.779
908,98.779
909,98.779
910,98.779
911,98.779
912,98.59
913,98.59
914,98.59
915,98.59
916,98.59
917,98.59
918,98.59
919,98.59
920,98.59
921,98.59
922,98.59
923,98.59
924,98.59
925,98.59
926,98.59
927,98.59
928,98.59
929,98.59
930,98.59
931,98.59
932,98.59
933,98.59
934,98.59
935,98.59
936,98.59
937,98.59
938,98.59
939,98.59
940,98.59
941,98.59
942,98.59
943,99.462
944,99.462
945,99.462
946,99.462
947,99.462
948,99.462
949,99.462
950,99.462
951,99.462
952,99.462
953,99.462
954,99.462
955,99.462
956,99.462
957,99.462
958,99.462
959,99.462
960,99.462
961,99.462
962,99.462
963,99.462
964,99.462
965,99.462
966,99.462
967,99.462
968,99.462
969,99.462
970,99.462
971,99.462
972,99.462
973,99.462
974,100.221
975,100.221
976,100.221
977,100.221
978,100.221
979,100.221
980,100.221
981,100.221
982,100.221
983,100.221
984,100.221
985,100.221
986,100.221
987,100.221
988,100.221
989,100.221
990,100.221
991,100.221
992,100.221
993,100.221
994,100.221
995,100.221
996,100.221
997,100.221
998,100.221
999,100.221
1000,100.221
1001,100.221
1002,100.221
1003,100.221
1004,100.041
1005,100.041
1006,100.041
1007,100.041
1008,100.041
1009,100.041
1010,100.041
1011,100.041
1012,100.041
1013,100.041
1014,100.041
1015,100.041
1016,100.041
1017,100.041
1018,100.041
1019,100.041
1020,100.041
1021,100.041
1022,100.041
1023,100.041
1024,100.041
1025,100.041
1026,100.041
1027,100.041
1028,100.041
1029,100.041
1030,100.041
1031,100.041
1032,100.041
1033,100.041
1034,100.041
1035,99.33
1036,99.33
1037,99.33
1038,99.33
1039,99.33
1040,99.33
1041,99.33
1042,99.33
1043,99.33
1044,99.33
1045,99.33
1046,99.33
1047,99.33
1048,99.33
1049,99.33
1050,99.33
1051,99.33
1052,99.33
1053,99.33
1054,99.33
1055,99.33
1056,99.33
1057,99.33
1058,99.33
1059,99.33
1060,99.33
1061,99.33
1062,99.33
