구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2016년07월12일,1783.10,1440.68,1231.22,792.48
2016년07월13일,1782.01,1440.31,1230.99,793.09
2016년07월14일,1782.21,1439.83,1230.67,793.17
2016년07월15일,1783.40,1439.19,1230.30,793.10
2016년07월16일,1782.35,1438.53,1229.54,792.92
2016년07월17일,1781.84,1438.33,1229.25,793.01
2016년07월18일,1781.13,1437.68,1229.14,793.36
2016년07월19일,1775.51,1436.74,1228.32,793.88
2016년07월20일,1773.66,1435.79,1227.51,793.87
2016년07월21일,1773.87,1435.11,1227.01,793.83
2016년07월22일,1774.43,1434.37,1226.41,793.60
2016년07월23일,1774.37,1433.31,1225.62,793.02
2016년07월24일,1773.98,1432.93,1225.08,792.46
2016년07월25일,1770.82,1432.16,1224.72,792.51
2016년07월26일,1770.15,1431.05,1223.96,792.45
2016년07월27일,1768.47,1430.01,1223.04,791.87
2016년07월28일,1767.50,1429.05,1222.30,791.98
2016년07월29일,1769.15,1428.22,1221.66,791.81
2016년07월30일,1770.11,1427.40,1220.97,791.48
2016년07월31일,1770.40,1426.97,1220.28,791.15
2016년08월01일,1768.99,1425.70,1219.48,791.34
2016년08월02일,1764.30,1423.66,1217.70,790.76
2016년08월03일,1763.52,1422.19,1216.41,791.02
2016년08월04일,1763.39,1420.84,1215.29,790.14
2016년08월05일,1762.40,1419.47,1214.05,790.24
2016년08월06일,1762.43,1418.33,1212.89,789.92
2016년08월07일,1759.99,1417.72,1212.26,789.62
2016년08월08일,1759.58,1416.63,1211.56,789.36
2016년08월09일,1757.43,1414.73,1209.86,789.31
2016년08월10일,1757.07,1413.51,1208.77,789.16
2016년08월11일,1757.69,1412.32,1207.70,789.22
2016년08월12일,1758.78,1411.29,1206.75,789.05
2016년08월13일,1757.95,1410.28,1205.79,788.71
2016년08월14일,1758.43,1409.94,1205.36,788.62
2016년08월15일,1757.75,1409.44,1205.11,788.24
2016년08월16일,1756.85,1408.53,1204.49,788.04
2016년08월17일,1755.45,1407.67,1203.66,787.79
2016년08월18일,1754.44,1406.95,1203.18,787.13
2016년08월19일,1754.10,1406.60,1202.91,786.78
2016년08월20일,1753.65,1406.56,1202.61,785.94
2016년08월21일,1754.03,1406.50,1202.41,786.26
2016년08월22일,1754.38,1406.34,1202.61,786.12
2016년08월23일,1758.06,1406.87,1203.35,786.50
2016년08월24일,1759.40,1406.92,1203.36,786.30
2016년08월25일,1760.65,1406.92,1203.40,785.87
2016년08월26일,1761.25,1407.15,1203.45,785.43
2016년08월27일,1761.27,1407.43,1203.53,785.31
2016년08월28일,1761.15,1407.55,1203.26,784.92
2016년08월29일,1761.68,1407.76,1203.96,784.76
2016년08월30일,1763.27,1408.15,1204.15,785.00
2016년08월31일,1762.65,1408.54,1204.60,785.11
2016년09월01일,1761.44,1408.72,1204.69,785.56
2016년09월02일,1762.91,1408.60,1204.45,785.62
2016년09월03일,1764.24,1408.51,1204.24,785.72
2016년09월04일,1764.51,1408.46,1203.94,785.80
2016년09월05일,1762.94,1408.52,1204.27,786.02
2016년09월06일,1762.31,1408.30,1203.91,785.96
2016년09월07일,1762.77,1408.19,1203.76,785.32
2016년09월08일,1763.43,1408.12,1203.70,785.31
2016년09월09일,1762.44,1408.26,1203.61,785.70
2016년09월10일,1761.11,1408.38,1203.45,785.37
2016년09월11일,1760.55,1408.33,1203.18,785.46
2016년09월12일,1759.59,1408.60,1203.64,785.50
2016년09월13일,1759.27,1408.78,1203.68,785.34
2016년09월14일,1759.52,1408.92,1203.51,785.17
2016년09월15일,1759.73,1409.06,1203.55,784.94
2016년09월16일,1759.41,1409.00,1203.43,784.03
2016년09월17일,1759.49,1408.91,1203.36,783.86
2016년09월18일,1759.74,1408.81,1203.19,783.48
2016년09월19일,1759.15,1408.84,1203.50,783.52
2016년09월20일,1758.17,1408.52,1203.10,783.09
2016년09월21일,1760.33,1408.21,1202.83,783.25
2016년09월22일,1759.97,1407.97,1202.35,782.91
2016년09월23일,1759.42,1407.83,1202.22,782.94
2016년09월24일,1759.74,1407.49,1201.83,783.01
2016년09월25일,1759.26,1407.49,1201.52,782.67
2016년09월26일,1758.15,1407.36,1201.82,782.82
2016년09월27일,1759.81,1407.21,1201.45,782.89
2016년09월28일,1759.31,1406.94,1201.15,782.53
