,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1362,2019년 9월 24일,18.0,25.5,13.1,3.1,0.0,12.4
1363,2019년 9월 25일,18.4,24.5,12.7,7.9,0.0,11.8
1364,2019년 9월 26일,19.8,25.7,16.1,6.8,0.0,9.599999999999998
1365,2019년 9월 27일,22.0,28.1,16.5,6.1,0.0,11.6
1366,2019년 9월 28일,22.9,26.9,20.3,6.6,0.0,6.599999999999998
1367,2019년 9월 29일,23.1,29.1,19.1,2.9,0.0,10.0
1368,2019년 9월 30일,22.4,29.0,16.5,3.8,0.0,12.5
1369,2019년 10월 1일,22.4,24.9,20.6,8.9,0.0,4.299999999999997
1370,2019년 10월 2일,20.9,21.4,20.2,10.0,155.9,1.1999999999999993
1371,2019년 10월 3일,22.0,26.5,19.1,6.3,61.7,7.399999999999999
1372,2019년 10월 4일,21.5,27.8,16.9,5.3,0.0,10.900000000000002
1373,2019년 10월 5일,20.6,24.6,17.8,8.9,1.5,6.800000000000001
1374,2019년 10월 6일,17.5,20.9,14.6,8.8,0.0,6.299999999999999
1375,2019년 10월 7일,15.0,16.4,13.4,8.9,4.0,2.9999999999999982
1376,2019년 10월 8일,16.2,22.5,11.2,4.4,0.0,11.3
1377,2019년 10월 9일,13.5,21.4,7.5,2.1,0.0,13.9
1378,2019년 10월 10일,14.9,21.9,7.7,8.4,0.0,14.2
1379,2019년 10월 11일,17.7,24.8,12.4,3.7,0.0,12.4
1380,2019년 10월 12일,18.4,24.9,12.6,1.4,0.0,12.3
1381,2019년 10월 13일,15.1,22.3,9.1,3.1,0.0,13.2
1382,2019년 10월 14일,15.0,22.2,9.3,4.3,0.0,12.9
1383,2019년 10월 15일,14.0,18.3,9.8,6.8,0.0,8.5
1384,2019년 10월 16일,12.2,20.1,8.2,6.8,0.0,11.900000000000002
1385,2019년 10월 17일,13.1,19.0,8.9,7.0,0.0,10.1
1386,2019년 10월 18일,13.9,17.3,10.1,9.6,4.2,7.200000000000001
