,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
68,2016년 3월 9일,6.9,13.4,2.6,6.5,13.6,10.8
69,2016년 3월 10일,5.6,10.8,2.1,4.8,0.0,8.700000000000001
70,2016년 3월 11일,3.5,10.0,-0.8,0.0,0.0,10.8
71,2016년 3월 12일,5.1,10.3,0.7,2.1,0.0,9.6
72,2016년 3월 13일,7.6,10.7,5.2,9.5,0.0,5.499999999999999
73,2016년 3월 14일,7.7,14.3,4.1,2.3,0.0,10.2
74,2016년 3월 15일,8.2,12.3,3.2,3.3,0.0,9.1
75,2016년 3월 16일,11.2,16.2,7.3,4.1,0.0,8.899999999999999
76,2016년 3월 17일,12.6,16.9,7.8,3.6,0.0,9.099999999999998
77,2016년 3월 18일,12.7,13.4,11.5,9.5,38.7,1.9000000000000004
78,2016년 3월 19일,13.3,19.4,10.4,2.8,0.0,8.999999999999998
79,2016년 3월 20일,10.6,14.2,8.6,7.9,0.0,5.6
80,2016년 3월 21일,10.2,14.8,7.3,2.4,0.0,7.500000000000001
81,2016년 3월 22일,12.3,16.8,7.1,2.9,0.0,9.7
82,2016년 3월 23일,11.0,15.1,8.2,6.4,0.0,6.9
83,2016년 3월 24일,8.6,13.5,5.4,6.6,0.0,8.1
84,2016년 3월 25일,8.1,11.7,6.3,7.9,0.0,5.4
85,2016년 3월 26일,7.4,11.1,5.6,6.0,4.6,5.5
86,2016년 3월 27일,9.5,16.2,4.3,1.6,0.0,11.9
87,2016년 3월 28일,11.8,18.3,6.7,0.0,0.0,11.6
88,2016년 3월 29일,13.3,16.3,10.1,5.1,0.0,6.200000000000001
89,2016년 3월 30일,15.0,19.6,12.4,4.4,0.0,7.200000000000001
90,2016년 3월 31일,14.8,19.3,11.1,4.5,0.0,8.200000000000001
91,2016년 4월 1일,16.1,22.0,11.0,0.0,0.0,11.0
92,2016년 4월 2일,15.1,18.8,11.4,4.3,0.0,7.4
93,2016년 4월 3일,14.2,18.0,11.5,9.8,0.9,6.5
94,2016년 4월 4일,11.7,13.6,10.5,9.5,3.8,3.1
95,2016년 4월 5일,14.3,19.5,10.8,3.6,0.0,8.7
96,2016년 4월 6일,14.8,20.9,11.0,7.6,18.2,9.9
97,2016년 4월 7일,12.7,16.5,11.4,7.9,47.4,5.1
98,2016년 4월 8일,16.5,21.7,12.4,3.4,0.0,9.3
99,2016년 4월 9일,17.2,22.6,13.1,4.0,0.0,9.500000000000002
100,2016년 4월 10일,15.6,18.9,11.3,5.1,0.0,7.599999999999998
101,2016년 4월 11일,10.5,14.0,9.1,7.0,0.0,4.9
102,2016년 4월 12일,12.5,15.9,8.0,7.1,0.0,7.9
103,2016년 4월 13일,14.6,16.0,14.0,9.5,14.8,2.0
104,2016년 4월 14일,17.4,21.4,13.2,0.9,0.0,8.2
105,2016년 4월 15일,14.6,18.1,11.5,0.4,0.0,6.600000000000001
106,2016년 4월 16일,15.0,19.2,10.5,8.1,36.6,8.7
107,2016년 4월 17일,16.5,20.9,13.4,3.1,8.0,7.499999999999998
108,2016년 4월 18일,15.2,19.2,12.9,5.5,0.0,6.299999999999999
