,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1198,2019년 4월 13일,12.1,20.2,2.2,6.3,0.0,18.0
1199,2019년 4월 14일,11.5,17.2,6.1,6.3,0.0,11.1
1200,2019년 4월 15일,13.4,22.7,1.1,0.5,0.0,21.599999999999998
1201,2019년 4월 16일,16.2,25.6,3.7,5.4,0.0,21.900000000000002
1202,2019년 4월 17일,16.7,25.4,8.6,4.9,0.0,16.799999999999997
1203,2019년 4월 18일,18.0,27.4,6.8,5.3,0.0,20.599999999999998
1204,2019년 4월 19일,11.9,16.9,10.3,9.6,0.0,6.599999999999998
1205,2019년 4월 20일,16.2,25.1,6.6,3.4,0.0,18.5
1206,2019년 4월 21일,18.3,25.3,13.2,8.1,0.0,12.100000000000001
1207,2019년 4월 22일,15.8,22.7,9.2,3.6,0.0,13.5
1208,2019년 4월 23일,16.1,23.3,8.4,9.1,3.0,14.9
1209,2019년 4월 24일,18.4,22.3,15.0,7.1,4.0,7.300000000000001
1210,2019년 4월 25일,13.9,16.9,10.7,9.0,0.0,6.199999999999999
1211,2019년 4월 26일,10.1,11.9,8.3,7.8,9.0,3.5999999999999996
1212,2019년 4월 27일,11.6,18.6,4.0,6.1,0.0,14.600000000000001
1213,2019년 4월 28일,12.6,20.6,7.9,7.9,0.0,12.700000000000001
1214,2019년 4월 29일,10.6,12.5,5.8,8.5,38.5,6.7
1215,2019년 4월 30일,14.1,19.0,10.6,6.6,0.5,8.4
1216,2019년 5월 1일,16.5,24.7,10.1,4.0,0.0,14.6
1217,2019년 5월 2일,17.2,26.4,7.8,0.0,0.0,18.599999999999998
1218,2019년 5월 3일,17.0,28.0,6.1,1.4,0.0,21.9
1219,2019년 5월 4일,18.5,29.6,7.5,3.9,0.0,22.1
1220,2019년 5월 5일,20.5,30.2,11.1,6.1,0.0,19.1
1221,2019년 5월 6일,13.4,21.4,8.3,3.6,0.0,13.099999999999998
1222,2019년 5월 7일,13.8,23.2,4.1,0.0,0.0,19.1
1223,2019년 5월 8일,16.5,25.4,5.0,6.4,0.0,20.4
1224,2019년 5월 9일,19.0,26.0,13.8,4.9,0.0,12.2
1225,2019년 5월 10일,18.4,29.8,7.3,2.6,0.0,22.5
1226,2019년 5월 11일,19.5,30.4,8.6,0.6,0.0,21.799999999999997
1227,2019년 5월 12일,16.9,24.7,9.8,3.8,0.0,14.899999999999999
1228,2019년 5월 13일,18.0,26.1,8.3,6.5,0.0,17.8
1229,2019년 5월 14일,21.7,29.4,15.7,5.9,0.0,13.7
1230,2019년 5월 15일,21.6,29.4,13.9,5.6,0.0,15.499999999999998
