,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
624,2017년 9월 16일,18.8,23.9,12.9,0.0,0.0,10.999999999999998
625,2017년 9월 17일,20.4,25.0,16.5,0.0,0.0,8.5
626,2017년 9월 18일,18.8,27.2,14.1,0.0,0.0,13.1
627,2017년 9월 19일,20.1,27.1,11.8,0.0,0.0,15.3
628,2017년 9월 20일,19.2,24.4,10.9,0.0,0.0,13.499999999999998
629,2017년 9월 21일,15.9,25.5,8.1,0.0,0.0,17.4
630,2017년 9월 22일,17.0,27.2,11.4,0.0,0.0,15.799999999999999
631,2017년 9월 23일,17.1,26.4,11.7,0.0,0.0,14.7
632,2017년 9월 24일,18.7,27.9,12.2,0.0,0.0,15.7
633,2017년 9월 25일,19.9,28.3,14.5,0.0,0.0,13.8
634,2017년 9월 26일,19.7,27.2,14.0,0.0,0.0,13.2
635,2017년 9월 27일,17.8,20.6,15.3,0.0,54.1,5.300000000000001
636,2017년 9월 28일,19.3,25.6,14.9,0.0,0.0,10.700000000000001
637,2017년 9월 29일,14.0,21.7,7.8,0.0,0.0,13.899999999999999
638,2017년 9월 30일,13.4,26.4,4.8,0.0,0.0,21.599999999999998
639,2017년 10월 1일,13.0,16.4,7.8,0.0,29.0,8.599999999999998
640,2017년 10월 2일,19.3,25.2,16.3,0.0,36.9,8.899999999999999
641,2017년 10월 3일,19.5,25.8,15.5,0.0,0.0,10.3
642,2017년 10월 4일,17.7,22.8,14.8,0.0,0.0,8.0
643,2017년 10월 5일,15.9,18.8,13.2,0.0,1.1,5.600000000000001
644,2017년 10월 6일,14.7,17.3,12.6,0.0,10.4,4.700000000000001
645,2017년 10월 7일,18.2,24.4,14.7,0.0,0.0,9.7
646,2017년 10월 8일,19.3,26.8,14.9,0.0,0.0,11.9
647,2017년 10월 9일,20.1,29.0,15.9,0.0,0.0,13.1
648,2017년 10월 10일,20.5,28.5,16.2,0.0,0.0,12.3
649,2017년 10월 11일,18.8,23.4,15.5,0.0,0.0,7.899999999999999
650,2017년 10월 12일,12.7,15.9,10.6,0.0,21.8,5.300000000000001
651,2017년 10월 13일,11.9,19.7,5.3,0.0,0.1,14.399999999999999
652,2017년 10월 14일,12.8,21.1,8.6,0.0,0.0,12.500000000000002
653,2017년 10월 15일,13.6,17.5,10.1,0.0,0.1,7.4
654,2017년 10월 16일,13.4,18.6,8.8,0.0,0.0,9.8
655,2017년 10월 17일,13.1,20.3,7.3,0.0,0.0,13.0
656,2017년 10월 18일,14.6,18.1,12.1,0.0,0.1,6.000000000000002
657,2017년 10월 19일,14.6,20.0,10.4,0.0,0.0,9.6
658,2017년 10월 20일,13.6,22.3,8.2,0.0,0.0,14.100000000000001
659,2017년 10월 21일,12.7,21.7,6.3,0.0,0.0,15.399999999999999
660,2017년 10월 22일,14.7,21.4,7.0,0.0,0.0,14.399999999999999
661,2017년 10월 23일,11.5,19.2,6.0,0.0,0.0,13.2
662,2017년 10월 24일,9.0,16.6,5.7,0.0,0.4,10.900000000000002
663,2017년 10월 25일,9.9,20.8,4.0,0.0,0.0,16.8
664,2017년 10월 26일,10.5,20.4,4.0,0.0,0.0,16.4
665,2017년 10월 27일,12.4,21.3,7.2,0.0,0.0,14.100000000000001
666,2017년 10월 28일,12.8,20.6,4.9,0.0,0.0,15.700000000000001
667,2017년 10월 29일,11.8,20.3,4.8,0.0,0.0,15.5
668,2017년 10월 30일,5.7,15.6,-0.9,0.0,0.0,16.5
669,2017년 10월 31일,6.5,19.5,-3.1,0.0,0.0,22.6
670,2017년 11월 1일,9.1,20.0,-1.0,0.0,0.0,21.0
671,2017년 11월 2일,10.3,20.1,3.5,0.0,0.0,16.6
672,2017년 11월 3일,9.8,19.5,4.3,0.0,1.0,15.2
673,2017년 11월 4일,6.7,14.7,0.6,0.0,0.0,14.1
674,2017년 11월 5일,5.4,17.5,-3.6,0.0,0.0,21.1
675,2017년 11월 6일,8.0,20.5,-3.4,0.0,0.0,23.9
676,2017년 11월 7일,11.4,21.3,2.2,0.0,0.0,19.1
677,2017년 11월 8일,12.3,20.0,5.3,0.0,0.0,14.7
678,2017년 11월 9일,7.5,19.5,-0.3,0.0,0.0,19.8
679,2017년 11월 10일,10.2,20.2,-0.4,0.0,0.0,20.599999999999998
680,2017년 11월 11일,6.0,13.5,-1.3,0.0,0.0,14.8
681,2017년 11월 12일,3.3,14.6,-4.9,0.0,0.0,19.5
682,2017년 11월 13일,5.4,15.7,-3.3,0.0,0.0,19.0
683,2017년 11월 14일,8.5,15.2,2.8,0.0,0.0,12.399999999999999
684,2017년 11월 15일,6.5,10.8,2.1,0.0,0.0,8.700000000000001
685,2017년 11월 16일,3.3,11.1,-2.1,0.0,0.0,13.2
686,2017년 11월 17일,4.4,11.7,-5.2,0.0,0.0,16.9
687,2017년 11월 18일,2.4,9.9,-4.8,0.0,0.0,14.7
688,2017년 11월 19일,0.5,5.9,-4.5,0.0,0.0,10.4
689,2017년 11월 20일,4.2,9.2,-1.0,0.0,0.0,10.2
690,2017년 11월 21일,2.2,12.1,-6.1,0.0,0.0,18.2
691,2017년 11월 22일,4.1,10.7,-2.8,0.0,0.0,13.5
692,2017년 11월 23일,1.4,7.0,-1.9,0.0,0.0,8.9
693,2017년 11월 24일,1.0,6.4,-3.5,0.0,0.8,9.9
694,2017년 11월 25일,1.7,10.6,-5.8,0.0,0.0,16.4
695,2017년 11월 26일,7.8,15.3,-1.1,0.0,0.0,16.400000000000002
696,2017년 11월 27일,3.2,13.8,-5.1,0.0,0.0,18.9
697,2017년 11월 28일,6.9,17.6,-1.8,0.0,0.0,19.400000000000002
698,2017년 11월 29일,7.5,13.4,2.3,0.0,0.0,11.100000000000001
699,2017년 11월 30일,2.9,7.7,-4.2,0.0,0.0,11.9
700,2017년 12월 1일,-1.8,4.2,-7.2,0.0,0.0,11.4
701,2017년 12월 2일,-1.6,8.6,-9.5,0.0,0.0,18.1
702,2017년 12월 3일,1.9,12.7,-6.9,0.0,0.0,19.6
703,2017년 12월 4일,1.5,7.5,-2.7,0.0,0.0,10.2
704,2017년 12월 5일,-2.4,2.4,-6.7,0.0,0.0,9.1
705,2017년 12월 6일,-1.8,4.8,-8.4,0.0,0.0,13.2
706,2017년 12월 7일,0.6,5.2,-4.8,0.0,0.8,10.0
707,2017년 12월 8일,-1.7,2.6,-6.2,0.0,0.0,8.8
708,2017년 12월 9일,0.2,4.7,-5.1,0.0,0.0,9.8
709,2017년 12월 10일,2.9,9.4,-1.9,0.0,0.3,11.3
710,2017년 12월 11일,-2.4,2.9,-5.2,0.0,0.0,8.1
711,2017년 12월 12일,-5.6,-0.6,-9.5,0.0,0.0,8.9
712,2017년 12월 13일,-5.8,1.2,-12.1,0.0,0.0,13.299999999999999
713,2017년 12월 14일,-5.0,4.8,-13.9,0.0,0.0,18.7
714,2017년 12월 15일,-1.9,7.2,-9.9,0.0,0.0,17.1
715,2017년 12월 16일,-0.9,2.9,-5.8,0.0,0.0,8.7
716,2017년 12월 17일,-4.1,1.0,-9.8,0.0,0.0,10.8
717,2017년 12월 18일,-0.4,5.3,-10.3,0.0,0.0,15.600000000000001
718,2017년 12월 19일,-0.5,4.9,-7.4,0.0,0.0,12.3
719,2017년 12월 20일,-2.5,6.3,-11.8,0.0,0.0,18.1
720,2017년 12월 21일,-1.1,8.4,-8.3,0.0,0.0,16.700000000000003
721,2017년 12월 22일,-1.3,8.9,-10.1,0.0,0.0,19.0
722,2017년 12월 23일,-0.2,10.5,-8.2,0.0,0.0,18.7
723,2017년 12월 24일,2.2,9.9,-1.4,0.0,13.8,11.3
724,2017년 12월 25일,0.0,4.7,-4.5,0.0,0.0,9.2
725,2017년 12월 26일,0.5,5.2,-5.4,0.0,0.0,10.600000000000001
726,2017년 12월 27일,-3.7,2.3,-8.5,0.0,0.0,10.8
727,2017년 12월 28일,-2.0,4.7,-8.6,0.0,0.0,13.3
728,2017년 12월 29일,2.0,9.5,-5.1,0.0,0.0,14.6
729,2017년 12월 30일,1.1,6.2,-4.9,0.0,0.0,11.100000000000001
730,2017년 12월 31일,2.0,5.4,-3.6,0.0,0.0,9.0
731,2018년 1월 1일,-0.5,4.9,-5.7,0.0,0.0,10.600000000000001
732,2018년 1월 2일,-1.1,7.2,-9.5,0.0,0.0,16.7
733,2018년 1월 3일,-1.4,4.2,-7.1,0.0,0.0,11.3
734,2018년 1월 4일,-0.2,5.5,-5.1,0.0,0.0,10.6
735,2018년 1월 5일,0.2,6.8,-5.0,0.0,0.0,11.8
736,2018년 1월 6일,-1.1,7.5,-6.5,0.0,0.0,14.0
737,2018년 1월 7일,-2.5,4.3,-9.9,0.0,1.1,14.2
738,2018년 1월 8일,1.6,5.5,-1.3,0.0,1.5,6.8
739,2018년 1월 9일,-1.1,0.8,-2.9,0.0,0.8,3.7
740,2018년 1월 10일,-4.5,-1.2,-7.6,0.0,1.8,6.3999999999999995
741,2018년 1월 11일,-8.7,-3.8,-12.4,0.0,0.0,8.600000000000001
742,2018년 1월 12일,-8.5,-3.0,-13.7,0.0,0.0,10.7
743,2018년 1월 13일,-3.3,3.1,-9.3,0.0,0.0,12.4
744,2018년 1월 14일,-1.8,8.0,-10.6,0.0,0.0,18.6
745,2018년 1월 15일,3.3,12.0,-3.0,0.0,0.0,15.0
746,2018년 1월 16일,1.8,6.0,-3.7,0.0,7.4,9.7
747,2018년 1월 17일,3.4,9.6,-0.9,0.0,4.9,10.5
748,2018년 1월 18일,2.8,10.1,-2.5,0.0,0.0,12.6
749,2018년 1월 19일,0.3,9.2,-6.5,0.0,0.0,15.7
750,2018년 1월 20일,-0.6,8.7,-8.1,0.0,0.0,16.799999999999997
751,2018년 1월 21일,0.6,9.4,-6.7,0.0,0.0,16.1
752,2018년 1월 22일,2.7,9.7,-1.0,0.0,1.3,10.7
753,2018년 1월 23일,-5.4,1.5,-8.6,0.0,0.0,10.1
754,2018년 1월 24일,-9.8,-5.5,-13.4,0.0,0.0,7.9
755,2018년 1월 25일,-9.1,-3.0,-14.1,0.0,0.0,11.1
756,2018년 1월 26일,-8.8,-1.9,-14.3,0.0,0.0,12.4
757,2018년 1월 27일,-5.7,5.6,-16.4,0.0,0.0,22.0
758,2018년 1월 28일,-1.9,3.3,-5.3,0.0,0.0,8.6
759,2018년 1월 29일,-5.6,-1.5,-9.9,0.0,0.0,8.4
760,2018년 1월 30일,-5.1,1.8,-12.0,0.0,0.0,13.8
761,2018년 1월 31일,-2.7,5.3,-11.4,0.0,0.0,16.7
762,2018년 2월 1일,-2.6,5.5,-9.2,0.0,0.0,14.7
763,2018년 2월 2일,-4.1,6.4,-11.4,0.0,0.0,17.8
764,2018년 2월 3일,-5.5,-1.0,-10.6,0.0,0.0,9.6
765,2018년 2월 4일,-7.1,-3.1,-9.7,0.0,0.0,6.6
766,2018년 2월 5일,-7.3,-3.2,-11.2,0.0,0.0,7.999999999999999
767,2018년 2월 6일,-7.7,-3.2,-12.7,0.0,0.0,9.5
768,2018년 2월 7일,-6.8,1.7,-14.4,0.0,0.0,16.1
769,2018년 2월 8일,-5.1,6.1,-14.6,0.0,0.0,20.7
770,2018년 2월 9일,0.4,10.7,-10.1,0.0,0.0,20.799999999999997
771,2018년 2월 10일,1.0,7.5,-4.6,0.0,0.0,12.1
772,2018년 2월 11일,-3.3,-0.3,-7.1,0.0,0.0,6.8
773,2018년 2월 12일,-3.4,0.1,-8.2,0.0,0.3,8.299999999999999
774,2018년 2월 13일,-1.0,5.1,-6.3,0.0,0.0,11.399999999999999
775,2018년 2월 14일,3.3,12.8,-9.2,0.0,0.0,22.0
776,2018년 2월 15일,2.6,10.9,-3.7,0.0,0.0,14.600000000000001
777,2018년 2월 16일,1.5,10.6,-6.8,0.0,0.0,17.4
778,2018년 2월 17일,0.9,6.3,-4.0,0.0,0.0,10.3
779,2018년 2월 18일,1.4,10.2,-5.1,0.0,0.0,15.299999999999999
780,2018년 2월 19일,3.0,11.4,-3.3,0.0,0.0,14.7
781,2018년 2월 20일,2.5,11.3,-7.5,0.0,0.0,18.8
782,2018년 2월 21일,1.0,7.0,-5.2,0.0,0.0,12.2
783,2018년 2월 22일,-1.7,7.6,-10.2,0.0,0.0,17.799999999999997
784,2018년 2월 23일,2.2,11.3,-7.3,0.0,0.5,18.6
785,2018년 2월 24일,5.3,12.4,-2.3,0.0,0.0,14.7
786,2018년 2월 25일,4.2,12.0,-2.2,0.0,0.0,14.2
787,2018년 2월 26일,3.2,15.1,-6.9,0.0,0.0,22.0
788,2018년 2월 27일,4.6,14.9,-5.6,0.0,0.0,20.5
789,2018년 2월 28일,3.5,7.0,0.2,0.0,27.4,6.8
790,2018년 3월 1일,3.3,6.7,-2.5,0.0,0.0,9.2
791,2018년 3월 2일,2.1,13.6,-6.2,0.0,0.0,19.8
792,2018년 3월 3일,6.0,17.1,-3.5,0.0,0.0,20.6
793,2018년 3월 4일,10.7,19.8,1.2,0.0,14.9,18.6
794,2018년 3월 5일,6.3,12.6,3.5,0.0,10.1,9.1
795,2018년 3월 6일,5.3,12.8,-1.6,0.0,0.0,14.4
796,2018년 3월 7일,2.8,6.9,0.0,0.0,8.2,6.9
797,2018년 3월 8일,2.4,5.5,0.2,0.0,19.4,5.3
798,2018년 3월 9일,4.1,9.2,1.0,0.0,0.0,8.2
799,2018년 3월 10일,5.0,13.8,-1.6,0.0,0.0,15.4
800,2018년 3월 11일,5.6,16.1,-3.2,0.0,0.0,19.3
801,2018년 3월 12일,7.6,19.5,-3.3,0.0,0.0,22.8
802,2018년 3월 13일,10.5,20.8,-1.3,0.0,0.0,22.1
803,2018년 3월 14일,13.4,23.6,2.9,0.0,0.0,20.700000000000003
804,2018년 3월 15일,12.2,15.3,8.9,0.0,17.4,6.4
805,2018년 3월 16일,4.9,12.8,0.1,0.0,0.0,12.700000000000001
806,2018년 3월 17일,5.1,13.7,-2.6,0.0,0.0,16.3
807,2018년 3월 18일,7.4,15.0,-1.8,0.0,4.6,16.8
808,2018년 3월 19일,8.1,10.2,5.0,0.0,32.5,5.199999999999999
809,2018년 3월 20일,4.7,9.5,0.5,0.0,0.0,9.0
810,2018년 3월 21일,0.8,1.7,-0.6,0.0,6.6,2.3
811,2018년 3월 22일,4.9,12.5,0.1,0.0,0.0,12.4
812,2018년 3월 23일,5.8,15.7,-3.1,0.0,0.0,18.8
813,2018년 3월 24일,8.9,17.2,-0.8,0.0,0.0,18.0
814,2018년 3월 25일,10.3,21.3,0.2,0.0,0.0,21.1
815,2018년 3월 26일,10.6,22.2,-0.5,0.0,0.0,22.7
816,2018년 3월 27일,12.1,22.9,1.0,0.0,0.0,21.9
817,2018년 3월 28일,13.9,24.2,2.0,0.0,0.0,22.2
818,2018년 3월 29일,15.3,24.8,5.7,0.0,0.0,19.1
819,2018년 3월 30일,13.1,20.2,6.9,0.0,0.0,13.299999999999999
820,2018년 3월 31일,13.8,24.2,4.1,0.0,0.0,20.1
821,2018년 4월 1일,15.0,22.3,6.3,0.0,0.0,16.0
822,2018년 4월 2일,16.7,25.2,7.7,0.0,0.0,17.5
823,2018년 4월 3일,17.5,26.9,8.5,0.0,0.0,18.4
824,2018년 4월 4일,12.6,18.1,7.3,0.0,2.6,10.8
825,2018년 4월 5일,7.5,8.4,6.8,0.0,20.1,1.6000000000000005
826,2018년 4월 6일,8.0,14.7,3.0,0.0,14.3,11.7
827,2018년 4월 7일,3.6,7.6,0.1,0.0,0.7,7.5
828,2018년 4월 8일,6.5,14.3,-3.9,0.0,0.8,18.2
829,2018년 4월 9일,12.1,20.5,5.6,0.0,0.0,14.9
830,2018년 4월 10일,13.5,22.2,1.5,0.0,0.0,20.7
831,2018년 4월 11일,15.9,22.6,9.1,0.0,6.0,13.500000000000002
832,2018년 4월 12일,12.3,22.2,1.9,0.0,0.0,20.3
833,2018년 4월 13일,12.1,17.5,5.6,0.0,0.0,11.9
834,2018년 4월 14일,9.1,12.5,6.3,0.0,22.4,6.2
835,2018년 4월 15일,10.8,17.7,6.1,0.0,0.0,11.6
836,2018년 4월 16일,10.9,18.3,1.6,0.0,0.0,16.7
837,2018년 4월 17일,12.7,20.9,6.0,0.0,0.0,14.899999999999999
