,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
155,2016년 6월 4일,20.6,24.2,18.4,8.8,0.2,5.800000000000001
156,2016년 6월 5일,23.6,31.1,15.3,3.1,0.0,15.8
157,2016년 6월 6일,22.4,26.4,19.9,8.1,0.0,6.5
158,2016년 6월 7일,21.9,27.9,17.6,5.0,0.0,10.299999999999997
159,2016년 6월 8일,21.2,27.1,17.3,4.5,0.0,9.8
160,2016년 6월 9일,22.6,29.8,17.2,3.9,0.0,12.600000000000001
161,2016년 6월 10일,23.4,30.3,18.4,3.4,0.0,11.900000000000002
162,2016년 6월 11일,24.0,29.6,20.5,7.9,1.1,9.100000000000001
163,2016년 6월 12일,23.4,28.0,19.6,8.6,0.4,8.399999999999999
164,2016년 6월 13일,22.3,28.5,17.9,4.8,0.0,10.600000000000001
165,2016년 6월 14일,22.9,29.4,18.1,7.0,0.0,11.299999999999997
166,2016년 6월 15일,20.9,25.7,17.7,9.4,27.6,8.0
167,2016년 6월 16일,20.9,25.7,18.4,4.8,0.0,7.300000000000001
168,2016년 6월 17일,23.3,29.1,17.8,1.9,0.0,11.3
169,2016년 6월 18일,23.8,29.2,19.2,1.1,0.0,10.0
170,2016년 6월 19일,24.3,29.3,20.3,4.4,0.0,9.0
171,2016년 6월 20일,25.1,30.7,19.0,6.9,0.0,11.7
172,2016년 6월 21일,25.3,30.9,20.2,6.5,0.0,10.7
173,2016년 6월 22일,25.2,31.1,21.9,6.6,0.8,9.200000000000003
174,2016년 6월 23일,25.0,31.4,21.2,6.6,0.7,10.2
175,2016년 6월 24일,22.4,26.7,19.6,7.9,6.4,7.099999999999998
176,2016년 6월 25일,22.4,27.7,18.7,2.4,0.0,9.0
177,2016년 6월 26일,23.6,30.7,17.8,1.1,0.0,12.899999999999999
178,2016년 6월 27일,24.1,30.1,19.2,6.1,0.0,10.900000000000002
179,2016년 6월 28일,24.4,30.2,19.6,5.8,0.0,10.599999999999998
180,2016년 6월 29일,24.6,29.0,21.2,7.6,0.0,7.800000000000001
181,2016년 6월 30일,24.7,29.0,22.7,9.6,0.2,6.300000000000001
182,2016년 7월 1일,24.3,28.0,22.7,9.9,104.2,5.300000000000001
183,2016년 7월 2일,23.6,27.5,20.9,8.3,2.5,6.600000000000001
184,2016년 7월 3일,23.0,26.3,20.6,7.4,0.0,5.699999999999999
185,2016년 7월 4일,22.2,23.6,21.0,9.5,43.7,2.6000000000000014
186,2016년 7월 5일,24.1,27.0,22.1,10.0,37.2,4.899999999999999
187,2016년 7월 6일,22.5,27.3,20.0,8.3,0.8,7.300000000000001
188,2016년 7월 7일,23.6,28.5,19.8,8.3,0.0,8.7
189,2016년 7월 8일,26.8,33.7,20.3,2.0,0.0,13.400000000000002
190,2016년 7월 9일,26.8,32.9,21.8,3.0,0.0,11.099999999999998
191,2016년 7월 10일,26.6,33.3,21.6,6.6,0.0,11.699999999999996
192,2016년 7월 11일,28.0,34.2,23.0,8.0,0.2,11.200000000000003
193,2016년 7월 12일,25.5,30.4,21.3,8.0,5.5,9.099999999999998
194,2016년 7월 13일,25.4,29.3,22.2,6.1,0.0,7.100000000000001
195,2016년 7월 14일,26.5,31.4,23.4,6.8,0.2,8.0
196,2016년 7월 15일,26.1,28.7,23.0,8.9,1.6,5.699999999999999
197,2016년 7월 16일,21.3,23.5,20.1,10.0,49.2,3.3999999999999986
198,2016년 7월 17일,21.6,23.2,20.6,9.9,3.4,2.599999999999998
199,2016년 7월 18일,23.9,28.9,20.5,5.1,0.0,8.399999999999999
200,2016년 7월 19일,26.8,32.8,19.9,3.3,0.0,12.899999999999999
201,2016년 7월 20일,28.6,33.2,23.9,5.3,0.0,9.300000000000004
202,2016년 7월 21일,27.9,32.1,24.6,7.9,0.0,7.5
203,2016년 7월 22일,29.3,33.9,25.1,6.6,0.0,8.799999999999997
204,2016년 7월 23일,28.9,32.1,26.8,7.8,0.1,5.300000000000001
205,2016년 7월 24일,28.7,32.5,26.8,9.0,0.0,5.699999999999999
206,2016년 7월 25일,28.5,32.5,25.8,5.9,0.0,6.699999999999999
207,2016년 7월 26일,28.1,32.7,24.5,5.8,0.0,8.200000000000003
208,2016년 7월 27일,27.6,29.6,25.4,9.0,0.3,4.200000000000003
209,2016년 7월 28일,27.9,30.9,25.4,5.6,4.9,5.5
210,2016년 7월 29일,25.8,27.8,23.6,9.6,57.5,4.199999999999999
211,2016년 7월 30일,28.6,33.2,25.8,6.3,6.4,7.400000000000002
212,2016년 7월 31일,29.0,33.7,25.9,5.3,0.0,7.800000000000004
213,2016년 8월 1일,28.3,32.5,25.7,7.3,0.0,6.800000000000001
214,2016년 8월 2일,27.7,30.7,25.4,8.4,0.0,5.300000000000001
215,2016년 8월 3일,29.2,34.7,24.4,5.5,0.0,10.300000000000004
216,2016년 8월 4일,28.9,35.1,24.7,2.3,0.0,10.400000000000002
217,2016년 8월 5일,29.8,35.6,25.6,1.5,0.0,10.0
218,2016년 8월 6일,29.6,35.4,25.5,1.9,0.0,9.899999999999999
219,2016년 8월 7일,29.1,34.9,25.4,1.3,0.0,9.5
220,2016년 8월 8일,29.3,35.0,24.5,2.9,0.0,10.5
221,2016년 8월 9일,29.6,34.3,26.4,3.4,0.0,7.899999999999999
222,2016년 8월 10일,29.0,34.1,25.3,3.9,0.0,8.8
223,2016년 8월 11일,29.6,35.5,24.7,0.9,0.0,10.8
224,2016년 8월 12일,28.9,35.0,25.0,3.3,0.0,10.0
225,2016년 8월 13일,29.6,34.6,26.2,4.8,0.0,8.400000000000002
226,2016년 8월 14일,29.3,33.4,26.1,6.0,0.0,7.299999999999997
227,2016년 8월 15일,28.8,34.1,25.4,6.6,0.0,8.700000000000003
228,2016년 8월 16일,29.0,34.4,24.2,3.4,0.0,10.2
229,2016년 8월 17일,29.0,34.6,24.7,4.4,0.3,9.900000000000002
